,city,country,latitude,longitude,max_temp,humidity,cloudiness,windspeed,date
0,Chui,UY,-33.6971,-53.4616,56.16,67,1,8.01,1628879154
1,Hilo,US,19.7297,-155.09,76.12,83,40,5.75,1628879176
2,Lawrenceburg,US,38.0373,-84.8966,90.72,66,64,10.42,1628879176
3,Kapaa,US,22.0752,-159.319,80.92,76,40,3.0,1628879176
4,Kirakira,SB,-10.4544,161.9205,77.54,89,83,9.46,1628879177
5,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,75,90,11.5,1628879177
6,Port Alfred,ZA,-33.5906,26.891,57.06,61,58,9.55,1628879177
7,Jamestown,US,42.097,-79.2353,83.08,85,75,7.0,1628879135
8,Kahama,TZ,-3.8333,32.6,75.88,40,83,1.86,1628879178
9,Punta Arenas,CL,-53.15,-70.9167,51.91,62,40,29.93,1628878972
10,Hithadhoo,MV,-0.6,73.0833,82.53,73,88,13.29,1628879178
11,Yellowknife,CA,62.456,-114.3525,64.92,68,75,12.66,1628879179
12,Hobart,AU,-42.8794,147.3294,46.06,73,44,3.0,1628879179
13,Qaanaaq,GL,77.484,-69.3632,43.09,57,1,5.82,1628879179
14,Khatanga,RU,71.9667,102.5,50.7,80,100,9.1,1628879179
15,Hermanus,ZA,-34.4187,19.2345,50.81,77,4,14.85,1628879180
16,Līgatne,LV,57.2343,25.0406,64.26,85,90,5.53,1628879180
17,Bredasdorp,ZA,-34.5322,20.0403,50.29,81,5,5.75,1628879180
18,Gaomi,CN,36.3833,119.7528,69.58,91,49,5.77,1628879181
19,Lavrentiya,RU,65.5833,-171.0,43.54,81,100,7.05,1628879181
20,Atherton,GB,53.5237,-2.4935,69.44,64,28,11.12,1628879084
21,Esperance,AU,-33.8667,121.9,40.84,51,2,10.45,1628879181
22,Oruzgan,AF,32.8333,66.0,75.76,12,0,1.57,1628879182
23,Sterling,US,39.0062,-77.4286,100.11,48,75,3.0,1628879178
24,Zavodouspenskoye,RU,56.8626,65.0155,62.82,62,85,2.75,1628879182
25,Saint George,US,37.1041,-113.5841,99.54,31,1,1.01,1628879086
26,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,11.5,1628879183
27,Hong Kong,HK,22.2855,114.1577,85.32,87,100,1.01,1628878986
28,Rikitea,PF,-23.1203,-134.9692,73.9,79,17,6.71,1628879183
29,Dhidhdhoo,MV,6.8833,73.1,82.6,74,94,16.51,1628879183
30,Cape Town,ZA,-33.9258,18.4232,54.88,67,0,4.0,1628878893
31,Itoman,JP,26.1247,127.6694,81.37,96,40,14.97,1628879184
32,Atar,MR,20.5169,-13.0499,111.24,7,22,20.27,1628879184
33,Touros,BR,-5.1989,-35.4608,81.5,65,43,19.19,1628879010
34,Marsá Maţrūḩ,EG,31.3525,27.2453,79.86,76,0,11.63,1628879184
35,Isangel,VU,-19.55,169.2667,64.51,82,40,6.91,1628879185
36,Kamenka,RU,51.3223,42.7678,65.21,91,100,12.62,1628879185
37,Kaitangata,NZ,-46.2817,169.8464,42.51,82,46,8.95,1628879185
38,Vaini,TO,-21.2,-175.2,64.56,94,75,4.61,1628879185
39,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.99,76,79,12.39,1628879186
40,Busselton,AU,-33.65,115.3333,48.04,85,64,2.82,1628879186
41,Leningradskiy,RU,69.3833,178.4167,40.44,96,100,2.95,1628879186
42,Ushuaia,AR,-54.8,-68.3,37.06,93,75,12.66,1628878903
43,Belvedere Marittimo,IT,39.6179,15.8617,79.93,69,0,1.43,1628879187
44,Imeni Poliny Osipenko,RU,52.4201,136.4853,53.65,90,45,3.47,1628879187
45,Tiksi,RU,71.6872,128.8694,43.38,77,100,5.19,1628879187
46,Atuona,PF,-9.8,-139.0333,77.22,77,7,18.45,1628879188
47,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,100,75,2.24,1628879188
48,Port Angeles,US,48.1181,-123.4307,89.71,55,1,9.22,1628879122
49,Healdsburg,US,38.6105,-122.8692,98.1,29,28,3.98,1628879129
50,Rocha,UY,-34.4833,-54.3333,57.42,59,0,7.05,1628879066
51,Chokurdakh,RU,70.6333,147.9167,43.57,77,77,20.02,1628879188
52,Cidreira,BR,-30.1811,-50.2056,60.15,80,99,13.62,1628879189
53,Bethel,US,41.3712,-73.414,96.08,57,20,1.99,1628879189
54,Narsaq,GL,60.9167,-46.05,64.62,69,80,4.5,1628879189
55,Sorong,ID,-0.8833,131.25,77.5,85,100,3.56,1628879190
56,Honningsvåg,NO,70.9821,25.9704,51.55,76,20,14.97,1628879190
57,Buala,SB,-8.145,159.5921,78.01,82,78,3.76,1628879190
58,São Filipe,CV,14.8961,-24.4956,77.32,75,65,13.13,1628879191
59,Puerto Ayora,EC,-0.7393,-90.3518,76.96,71,89,12.21,1628879191
60,Opuwo,NA,-18.0607,13.84,71.49,24,28,5.66,1628879191
61,Paamiut,GL,61.994,-49.6678,45.28,90,91,22.41,1628879191
62,Butaritari,KI,3.0707,172.7902,81.72,76,35,9.73,1628879192
63,Norman Wells,CA,65.282,-126.8329,62.64,77,75,4.61,1628879192
64,Province of Mantua,IT,45.1667,10.7833,92.71,66,18,1.01,1628879192
65,Kiryat Gat,IL,31.61,34.7642,85.41,45,0,6.06,1628879193
66,East London,ZA,-33.0153,27.9116,50.94,93,20,6.91,1628879193
67,Pindi Bhattian,PK,31.8978,73.273,95.47,33,5,5.55,1628879193
68,Gao,ML,16.6362,1.637,90.79,40,85,4.21,1628879193
69,Lagoa,PT,39.05,-27.9833,73.94,77,43,2.44,1628879194
70,Nanortalik,GL,60.1432,-45.2371,49.46,86,34,2.62,1628879194
71,Thompson,CA,55.7435,-97.8558,62.76,48,75,17.27,1628879194
72,Ostrovnoy,RU,68.0531,39.5131,52.61,95,100,8.21,1628879195
73,Ilulissat,GL,69.2167,-51.1,53.62,50,75,16.11,1628879195
74,Gornyak,RU,50.9942,81.4661,56.12,91,100,10.31,1628879195
75,Karratha,AU,-20.7377,116.8463,65.62,35,0,11.54,1628879195
76,Ponta do Sol,PT,32.6667,-17.1,76.71,74,1,3.67,1628879196
77,San Miguel de Tucumán,AR,-26.8241,-65.2226,62.6,25,0,3.44,1628879040
78,Pisco,PE,-13.7,-76.2167,66.02,77,1,12.66,1628879196
79,Puerto Ayacucho,VE,5.6639,-67.6236,84.2,74,77,4.07,1628879196
80,Trencin,SK,48.8333,18.25,75.61,75,11,3.09,1628878929
81,Bluff,NZ,-46.6,168.3333,42.8,85,72,28.34,1628879197
82,Cayenne,GF,4.9333,-52.3333,79.09,86,75,1.01,1628879197
83,Bāglung,NP,28.2719,83.5898,71.85,95,93,2.01,1628879197
84,Acapulco de Juárez,MX,16.8634,-99.8901,87.62,66,75,6.91,1628879010
85,Hegang,CN,47.4,130.3667,58.53,83,58,2.57,1628879198
86,Carnarvon,AU,-24.8667,113.6333,51.87,65,0,9.22,1628879198
87,Mataura,NZ,-46.1927,168.8643,42.48,97,52,11.43,1628879198
88,Aripuanã,BR,-9.1667,-60.6333,101.34,17,37,2.89,1628879199
89,Grand Gaube,MU,-20.0064,57.6608,68.38,84,12,3.0,1628879199
90,Lorengau,PG,-2.0226,147.2712,81.32,76,88,8.88,1628879199
91,George Town,MY,5.4112,100.3354,78.89,93,20,3.44,1628879200
92,Saint Paul Harbor,US,57.79,-152.4072,56.71,54,1,12.66,1628878988
93,Lebu,CL,-37.6167,-73.65,52.3,69,0,6.02,1628879200
94,Buraidah,SA,26.326,43.975,102.65,11,19,11.99,1628879200
95,Okhotsk,RU,59.3833,143.3,54.54,93,12,1.16,1628879201
96,Castro,BR,-24.7911,-50.0119,50.38,98,100,5.97,1628879201
97,San Cristobal,VE,7.7669,-72.225,80.78,54,79,6.24,1628879201
98,Jiangyou,CN,31.7667,104.7167,74.16,85,99,0.89,1628879201
99,Severo-Kuril'sk,RU,50.6789,156.125,52.72,92,7,7.56,1628879202
100,Amahai,ID,-3.3333,128.9167,77.0,88,80,2.93,1628879202
